id,first_name,second_name,element_type,now_cost,minutes,total_points
12,Oleksandr,Zinchenko,2,49,262,6
426,James,McAtee,3,51,148,6
502,Matz,Sels,1,46,1350,40
503,Carlos Miguel,dos Santos Pereira,1,40,0,0
504,Matt,Turner,1,40,0,0
505,Nikola,Milenković,2,51,1530,43
506,Murillo,Costa dos Santos,2,52,919,37
507,Ola,Aina,2,47,270,6
508,Neco,Williams,2,47,1530,52
509,David,Mota Veiga Teixeira do Carmo,2,45,0,0
510,Jair,Paula da Cunha Filho,2,43,90,3
511,Felipe,Rodrigues da Silva,2,43,708,20
512,Omar,Richards,2,45,0,0
513,Zach,Abbott,2,38,45,1
514,Willy,Boly,2,38,0,0
515,Morgan,Gibbs-White,3,73,1422,60
516,Callum,Hudson-Odoi,3,57,864,47
517,Elliot,Anderson,3,53,1530,69
518,João Pedro,Ferreira da Silva,3,54,11,1
519,Nicolás,Domínguez,3,50,261,8
520,Lewis,O'Brien,3,50,0,0
521,Ibrahim,Sangaré,3,49,864,47
522,Ryan,Yates,3,47,299,15
523,Eric,da Silva Moreira,3,45,0,0
524,Marko,Stamenić,3,45,0,0
525,Chris,Wood,4,72,538,25
526,Igor Jesus,Maciel da Cruz,4,58,820,33
527,Taiwo,Awoniyi,4,52,151,5
669,Dan,Ndoye,3,55,997,41
675,Angus,Gunn,1,40,0,0
693,Omari,Hutchinson,3,54,562,33
696,Arnaud,Kalimuendo,4,60,82,8
699,Douglas Luiz,Soares de Paulo,3,49,262,10
715,John Victor,Maciel Furtado,1,40,180,7
716,Nicolò,Savona,2,45,914,37
729,Luis Eduardo,Soares da Silva,2,45,0,0
734,Dilane,Bakwa,3,59,172,5
528,Anthony,Patterson,1,42,0,0
529,Simon,Moore,1,39,0,0
530,Blondy,Nna Noukeu,1,39,0,0
531,Daniel,Ballard,2,47,1119,75
532,Trai,Hume,2,45,1381,56
533,Aji,Alese,2,40,0,0
534,Joe,Anderson,2,39,0,0
535,Dennis,Cirkin,2,40,0,0
536,Leo Fuhr,Hjelde,2,40,0,0
537,Niall,Huggins,2,40,0,0
538,Zak,Johnson,2,39,0,0
539,Luke,O'Nien,2,40,4,-1
540,Timothée,Pembélé,2,39,0,0
541,Reinildo,Mandava,2,39,1022,37
542,Jenson,Seelt,2,40,133,2
543,Simon,Adingra,3,49,378,19
544,Habib,Diarra,3,53,371,13
545,Patrick,Roberts,3,54,27,1
546,Milan,Aleksić,3,49,0,0
547,Enzo,Le Fée,3,49,1215,60
548,Romaine,Mundle,3,49,78,3
549,Dan,Neil,3,48,2,2
550,Ian,Poveda-Ocampo,3,48,0,0
551,Chris,Rigg,3,47,249,11
552,Noah,Sadiki,3,50,1414,37
553,Chemsdine,Talbi,3,49,881,51
554,Abdoullah,Ba,3,43,0,0
555,Alan,Browne,3,45,0,0
556,Pierre,Ekwah Elimby,3,45,0,0
557,Harrison,Jones,3,43,0,0
558,Jay,Matete,3,43,0,0
559,Nectarios,Triantis,3,44,0,0
560,Wilson,Isidor,4,54,916,48
561,Eliezer,Mayenda Dossou,4,52,261,17
562,Ahmed,Abdullahi,4,43,0,0
563,Luís Hemir,Silva Semedo,4,44,0,0
564,Nazarii,Rusyn,4,44,0,0
668,Granit,Xhaka,3,52,1512,71
670,Robin,Roefs,1,48,1530,80
678,Arthur,Masuaku,2,39,125,1
683,Omar,Alderete,2,40,1117,63
694,Nordi,Mukiele,2,42,1350,70
724,Lutsharel,Geertruida,2,45,622,21
730,Brian,Brobbey,4,55,394,26
735,Bertrand,Traoré,3,55,607,28
565,Guglielmo,Vicario,1,49,1530,60
566,Brandon,Austin,1,39,0,0
567,Antonín,Kinský,1,39,0,0
568,Pedro,Porro Sauceda,2,53,1325,54
569,Cristian,Romero,2,50,1187,59
570,Kevin,Danso,2,42,491,19
571,Ben,Davies,2,43,31,1
572,Radu,Drăgușin,2,45,0,0
573,Djed,Spence,2,43,1073,38
